Attack,Nodes
1,"{33, 42, 17, 19, 20, 22, 24, 63}"
2,"{33, 17, 19, 20, 52, 22, 53, 63}"
3,"{33, 42, 17, 50, 19, 20, 22, 24}"
4,"{64, 33, 42, 17, 19, 20, 22, 24}"
5,"{33, 42, 17, 19, 20, 53, 22, 63}"
6,"{33, 17, 50, 19, 20, 52, 22, 53}"
7,"{33, 17, 19, 20, 52, 22, 24, 63}"
8,"{33, 75, 17, 19, 20, 22, 24, 63}"
9,"{64, 33, 17, 19, 20, 52, 22, 53}"
10,"{33, 73, 17, 19, 20, 52, 22, 63}"
11,"{67, 37, 38, 40, 19, 22, 24, 28}"
12,"{33, 42, 17, 50, 19, 20, 53, 22}"
13,"{17, 50, 47, 41}"
14,"{49, 27, 29, 55}"
15,"{3, 44, 12, 48, 56}"
16,"{71, 72, 10, 43, 60}"
17,"{37, 46, 50, 19, 52, 57, 29}"
18,"{64, 3, 14, 17, 29}"
19,"{44, 13, 47, 50, 53, 56, 60}"
20,"{58, 45, 37, 39}"
21,"{38, 73, 74, 16, 48, 19, 30}"
22,"{64, 41, 54, 25}"
23,"{37, 8, 46, 16, 48, 23}"
