Attack,Nodes
1,"{69, 70, 12, 13, 52, 21, 26, 59}"
2,"{2, 69, 6, 11, 49, 50, 22, 28}"
3,"{69, 71, 40, 10, 46, 24, 59, 30}"
4,"{68, 69, 70, 48, 50, 19, 21, 59}"
5,"{70, 71, 14, 18, 20, 22, 23, 59}"
6,"{64, 1, 32, 69, 39, 73, 53, 22}"
7,"{65, 4, 69, 47, 17, 22, 23, 24}"
8,"{2, 69, 16, 19, 51, 53, 59, 31}"
9,"{1, 2, 69, 44, 14, 59, 28, 61}"
10,"{65, 2, 69, 9, 11, 46, 19, 59}"
11,"{64, 37, 7, 47, 16, 22, 59, 60}"
12,"{37, 69, 73, 9, 45, 46, 48, 59}"
13,"{37, 70, 69, 22, 55, 25, 28, 31}"
14,"{69, 49, 18, 52, 22, 24, 58, 61}"
15,"{67, 14, 22, 62, 58, 59, 60, 30}"
16,"{37, 6, 71, 69, 19, 22, 57, 25}"
17,"{69, 70, 73, 42, 11, 50, 19, 22}"
18,"{64, 35, 4, 5, 69, 13, 14, 59}"
19,"{1, 35, 4, 69, 46, 53, 22, 30}"
20,"{70, 14, 52, 22, 23, 56, 59, 29}"
21,"{1, 69, 73, 10, 44, 16, 56, 59}"
22,"{67, 69, 44, 45, 16, 18, 22, 27}"
23,"{65, 42, 49, 18, 22, 25, 59, 31}"
24,"{64, 69, 40, 44, 14, 19, 25, 59}"
25,"{35, 36, 60, 49, 53, 22, 59, 28}"
26,"{68, 42, 11, 53, 22, 59, 60, 63}"
27,"{41, 73, 44, 45, 22, 24, 58, 59}"
28,"{35, 69, 43, 15, 48, 22, 25, 62}"
29,"{64, 69, 74, 12, 50, 22, 60, 29}"
30,"{2, 69, 8, 13, 49, 56, 59, 30}"
31,"{32, 67, 69, 38, 13, 59, 62, 63}"
32,"{64, 1, 69, 38, 41, 59, 28, 61}"
33,"{4, 69, 6, 7, 42, 14, 55, 59}"
34,"{35, 69, 6, 39, 16, 24, 59, 30}"
35,"{39, 47, 48, 49, 22, 24, 59, 60}"
36,"{6, 9, 42, 43, 59, 51, 22, 27}"
37,"{1, 69, 70, 6, 39, 51, 24, 59}"
