Node Index,Node Sum
8,-51.12321941658338
75,-49.819088089815125
45,-48.43813817143944
31,-47.69936346674811
30,-43.82246698223592
40,-43.78790802289355
2,-43.68578389634421
39,-43.48958852985696
17,-43.47108376004634
27,-43.32630083835499
53,-43.285728469549554
49,-42.842620356107155
43,-41.642203552274886
65,-41.430330472895484
10,-41.386750128826165
66,-41.17304182832627
58,-40.959771081389604
52,-40.75353568061105
56,-40.563112185983755
57,-40.559418406060324
22,-40.49173863848007
23,-40.285369268544315
51,-39.44675145205513
19,-39.19510747340328
72,-39.15198913409915
28,-39.10281542493158
18,-39.062589571100425
74,-38.948215666417504
35,-38.81386360749433
68,-38.24860626407412
55,-38.12867849409026
42,-38.07126421675122
71,-38.05835174753867
29,-37.82938337638988
50,-37.487104287726986
64,-37.45217418712583
34,-37.26067248817666
16,-36.86219499583957
37,-36.808122060633345
13,-36.606972502953326
20,-36.49026757130188
3,-36.26242171797754
38,-36.05736013584257
62,-36.048636223752126
21,-35.630177941489166
67,-35.62004928019267
6,-35.40548574873762
41,-35.26720535960439
9,-35.13533963596075
36,-35.11482728518617
46,-34.51695095681335
63,-34.042544794324485
73,-34.02359459421652
26,-33.86962358205832
1,-33.658345587183675
7,-33.48891546999849
54,-32.684820127063865
70,-32.569298237873674
24,-32.343841838885254
44,-32.22769693790443
59,-32.22662239791757
25,-31.740076104731358
48,-31.600884311637074
60,-31.323844837825195
61,-31.27879199874386
32,-30.938958456961142
4,-30.906149697298932
5,-30.86085535646526
15,-30.80285873942252
11,-30.29124355473058
33,-30.229527569421506
14,-29.563503994090688
69,-28.567826355038218
47,-27.00466947547757
12,-24.16501292330477
